id,word,wordtype,wordmeaning
703,chronological order,noun,"the arrangement of things such as records, files or invoices in order of their dates"
704,chumship,noun,a group of compositors working together on the same job
706,CIEL*a*b*,noun,a numerical scaled system of describing all colours visible to the human eye in relation to each other
707,c.i.f.,abbreviation,"cost, insurance and freight. "
708,circumflex accent,noun,a mark (^) used over a vowel in some languages to show pronunciation
709,citation,noun,a formal word for a quotation or reference
710,cite,verb,to quote or mention something especially as proof of a point
711,clamp,noun,a device that holds something tightly
712,clip art,noun,"pre-packaged artwork, available on software for use in documents produced on a computer"
713,closed circuit television,noun,"an internal video system often used for security purposes or for relaying conferences. 
  
714,close up,verb,to reduce the space between characters or lines
715,clothbound,adjective,"used to describe books which are covered in a specific type of material made originally from natural fibres, now often synthetic"
716,CMYK,adjective,a method of describing a colour by the percentage content of its four component colours. Full form cyan-magenta-yellow-key
717,coarse,noun,1. referring to paper which has a rough surface 2. referring to a screen with wide spaces between the lines
718,coated one side,noun,"or chromocoat; coated paper with the coating on one side only, suitable for posters or covers."
719,coated paper,noun,"art paper or shiny paper, coated on one or both sides with a mixture of china clay and size, used for illustrations, especially halftones"
720,coated two sides,noun,coated paper with the coating on both sides.
721,coating,noun,the act of treating paper with a mixture of clay and size
722,coating machine ,noun,a machine that applies the coating to paper
723,coauthor,noun,an author who writes something jointly with one or more other authors
724,coauthor,verb,to write a book with another author . 
725,Cobb sizing test,noun,a test to measure the rate of absorption of water by paper
726,COBOL,noun,a computer programming language. Full form common business-oriented language
727,cockle,noun,a bump or wrinkle on the edge of a sheet of paper caused by damp
728,cockle,verb,to bulge and wrinkle
729,cockroach,noun,a text which has been set in lower case only
730,cock-up,noun,1. a letter printed in superscript 2. an initial capital which is larger than the rest of the line
731,coda,noun,an additional section at the end of a text such as a literary work or speech that is not necessary to its structure but gives additional information
732,code,noun,a group of numbers or letters used to identify something. 
733,codicil,noun,an appendix or supplement to a text
734,co-edit,verb,to edit a book with another person
735,co-edition,noun,"the publication of a book by two publishing companies in different countries, where the first company has originated the work and then sells sheets to the second publisher (or licenses the second publisher to reprint the book locally)"
736,co-editor,noun,a person who has edited a book with another person
737,coffee table book,noun,"a glossy book with many colour illustrations, designed to be browsed through rather than read in full"
738,cold composition,noun,"the use of hand set type, typewritten material, or other material made by a machine which prints by striking the paper, as a basis for printing"
739,cold melt,noun,a glue used for binding which does not need to be heated
740,cold set ink,noun,ink which sets on the paper without being dried under heat
741,collage,noun,"an illustration made by sticking together various materials such as photographs, line drawings and pieces of fabric"
742,collate,verb,1. to gather pieces of information together 2. to organise materials into a specific order and check that they are complete
743,collating,noun,the act of checking the gathered sections of a book or of checking a text
744,collating machine,noun,a machine that collates signatures of a book or pages of a document in the correct order ready for binding
745,collating marks,noun,marks printed on the spine of a signature so that the binder can see if they have been collated in correct order
746,collating sequence,noun,an order in which signatures are stacked for printing
747,collation,noun,"1. a detailed comparison between different items or forms of information 2. the assembling of pieces of paper in the right order, particularly the sections of a book prior to binding 3. the act of compiling a technical description of a book, including its bibliographical details and information about its physical construction"
748,collator,noun,a machine which takes sheets or printed signatures and puts them in order for stapling or binding
749,collodion,noun,a highly flammable solvent formerly used to develop photographic plates
750,collotype,noun,"a rare printing process, where illustrations are printed from a glass surface coated with hardened gelatine, used especially for art books and reproductions of paintings"
751,colon,noun,a punctuation mark (:) used chiefly to introduce lists
752,colophon,noun,"1. the symbol or emblem that is printed on a book and represents a publisher or publisher's imprint 2. the details of the title, printer, publisher and publication date given at the end of a book. Colophons are commonly found in early printed books and in modern private press editions."
753,colour,noun,"the lightness or darkness of a particular typeface, when compared to other faces"
754,colour bar,noun,"a strip of bars of colour in the margin of a fourcolour proof, used to check that the tones of the colours are correct and to allow the density of the colour reproduction to be checked"
755,colour chart,noun,a chart showing different colours available for printing
756,colour coding,noun,a system of organising items by labelling similar contents with the same colour
757,colour correction,noun,"the correction of faulty colours manually, by changes to the colour separations"
758,colour management,noun,"It is the controlled conversion between the colour representations of various devices such as image scanners, digital cameras, computer printers, offset presses and corresponding media."
759,colour masking,noun,the correcting of faults in colour printing by masking the separations
760,colour matching,noun,"the preparation of colours according to specifications on a standard system of swatches, as in the Pantone system"
761,colour negative,noun,photographed colour film where the colours are replaced by their complements
762,colour palette,noun,a range of colours which can be used on a printer or display
763,colour photograph,noun,a photograph which reproduces the subject in colour
764,colour plate,noun,a plate printed in colour in a book
765,colour-plate book,noun,"a book with colour plates, usually an antiquarian book"
766,colour proof,noun,a proof in colour
767,colour register,noun,"the correct positioning of each colour on the previous one, so that the final result is perfect"
768,colour separation,noun, 1. separation of the various colours from a design into the process colours to make a series of four films for printing   2. film for a single colour
769,colour swatch,noun,a sample of colour given by an artist for the printer to match
770,colour tool,noun,a utility or icon in a graphics or DTP application that allows the user to create custom colours by specifying the CMYK or RGB values and then draw or fill an area with this colour
771,colour transparency,noun,a small photograph on positive colour film which can be used to print from
772,column,noun,"1. a vertical section of writing in a book, newspaper or magazine 2. a regular section or article in a newspaper or magazine by the same writer or on the same subject"
773,columnist,noun,a journalist who writes a regular column for a newspaper or magazine
774,column rule,noun,"a rule running down the page of a newspaper from top to bottom, separating the columns"
775,columns across,adjective,printing a newspaper with the columns running across the cylinder
776,columns around,adjective,printing a newspaper with the columns running round the plate cylinder
777,comma,noun,"a punctuation mark (,) used to show the natural breaks in written sentences"
778,commentary,noun,a text which comments on another text
779,communication,noun,"1. the exchange of information between people, e.g. by means of speaking, writing or using a common system of signs or behaviour 2. a spoken or written message 3. the act of giving information"
780,communique,noun,"an official announcement, especially to the press or public"
781,compendious,adjective,containing a wide range of information in a concise form
782,compendium,noun,a book in which two or more previously published books are brought together
783,complimentary card,noun,a small card giving the name and business details of a person
784,composite block,noun,a printing block with halftones and line blocks or parts of different blocks
785,composition costs,plural noun,the cost of typesetting a book
786,composition size,noun,"a printing type size which can be set by machine, as opposed to display sizes"
788,comprehensive layout,noun,"finished artwork such as graphics, photographs or illustrations, used as part of a printed output."
789,compression,noun,the process of reducing the size of a computer file by encoding the data in a more efficient form
790,compression ratio,noun,"the ratio of the size of an original, uncompressed file to the final, compressed file that has been more efficiently encoded"
791,computer,noun,an electronic machine that processes data very quickly using a stored program
792,computer-aided design,noun,the use of a computer and graphics terminal to help a designer in his or her work
793,computer-assisted composition,noun,"composition using digitally recorded text, which generates characters and automatically inserts spaces, as well as hyphenating, justifying and paginating"
794,computer-assisted design,noun,same as computer-aided design
795,computer department,noun,a department in a company which manages the company's computers
796,computer error,noun,a mistake made by a computer
797,computer file,noun,"a block of information saved on a computer, with its own name"
798,computer-literate,adjective,having a good understanding and experience of working with computers
799,computer programmer,noun,a person who writes computer programs
800,computer programming,noun,the job of writing programs for computers
801,computer setting,noun,typesetting using a computerised typesetting machine
802,computer to plate ,noun,"a system by which the publisher supplies the printer with text on disk, usually in PostScript format, and the printer outputs it direct to plate, without going through the CRC and film stages."
803,computer typesetting,noun,"typesetting which is done automatically by a computer, using instructions keyed on disk or tape"
804,concertina fold,noun,same as accordion fold
805,concordance,noun,"an alphabetical index of all the words in a document. 'Logos Bible Software, for example, licenses 50 Bible translations and 5,000 reference works, such as commentaries and concordances, that the company bundles into quickly searchable electronic libraries.' [The Boston Globe]"
806,condense,verb,"to make something shorter, e.g. to make text take up less space"
807,condensed,"adjective, noun","typeface with narrower characters than normal, taking less room on the line"
808,"confectioners, tobacconists and newsagents",noun,full form of CTN
810,connected dots,plural noun,"a block of halftone dots, which are joined together"
811,consumable textbook,noun,"a school book with blank spaces in which the student writes notes or answers, and which cannot be reused by another student"
812,contact negative,noun,a film that can be used to produce a print without any reduction or enlargement
813,contact print,noun,"a print made where the paper touches the negative, and which is therefore exactly the same size as the negative"
814,contact printing,noun,a photographic printing process in which the negative touches the light-sensitive paper
815,contact screen,noun,"a type of screen used for making halftone blocks, where the screen touches the film"
816,contents list,noun,"a list of the main chapters in a book, given usually at the beginning. Also called list of contents"
817,contents page,noun,a page at the beginning of a document listing the things in it
818,continuity set,noun,"a series of volumes of a reference title such as an encyclopedia, which are updated and expanded by regular new publications"
819,continuous feed,noun,a device which feeds continuous stationery into a computer printer
820,continuous sections,plural noun,"an arrangement of sections of a book where each follows on from the next, as opposed to insetted sections"
821,continuous stationery,noun,paper made as a long sheet used in computer printers
822,contributed content website,noun,"a website that allows visitors to add their contributions to its content, e.g., to write reviews of books that are advertised on the site"
823,control group,noun,a small group which is used to check a sample group
824,cookery book,noun,a book that gives recipes for preparing food
825,cookie,noun,a computer file containing information about a user that is sent to the central computer with each request. The server uses this information to customise data sent back to the user and to log the user's requests.
826,co-operative advertising,noun,"advertising where two companies share the costs, such as advertising by an agent and the publisher"
827,copier,noun,same as photocopier
828,copper,noun,a red metal used for halftone blocks and in engravings
829,copperplate,noun,"1. a plate of copper, used to make engravings 2. a type of handwriting or script with long ascenders and descenders sloping to the right, used in the 18th century in Britain, and taught as a model in schools"
830,copperplate printing,noun,"a printing method that uses a copper plate on which the image is etched, producing a very sharp image"
831,coproduction,noun,production of a large book or TV show where more than one company shares in the cost
832,copublication,noun,the act of copublishing a book
833,copublish,verb,"to publish a book, together with one or more other companies who are involved in the origination of the book, and then sell it in different markets"
834,copublisher,noun,a publisher who joins with another to publish a book
835,copy,noun,1. something that is made to look exactly the same as the original 2. the text of a manuscript or advertising material
836,copy,verb,to make something look exactly the same as the original
837,copy block,noun,a block of text which is dealt with as a single part of a design
838,copy date,noun,the date when copy for an article or advertisement has to be delivered to the newspaper or magazine publisher
839,copyedit,verb,to do preparation work to a piece of copy before it is published
840,copy editing,noun,"preparation work by an editor in a publishing company, such as correcting errors, changing the text to fit house style and marking up the typesetting style, to make a manuscript ready for typesetting"
841,copy editor,noun,"a person whose job is to check material ready for printing for accuracy and consistency of typeface, punctuation and layout"
842,copy fitting,noun,the process of deciding on the size of type which will be needed to fit a text into a particular fixed space
843,copy-fitting table,noun,"a table showing the space taken by characters in a particular typeface and point size, used for casting off"
844,copy holder,noun,"1. a person who reads out the original text while a proofreader corrects the proofs 2. a stand next to a computer, on which the keyboarder puts the copy to be keyboarded"
845,copy in,verb,"to send a copy to somebody, especially a copy of a letter or other document"
846,copying,noun,the act of making copies. 
847,copy preparation,noun,the process of marking up copy for the printer
848,copy protect,noun,a switch used to prevent copies of a disk being made
849,copy protection,noun,a means of preventing unauthorised duplication of computer software
850,copy reader,noun,a person who checks copy before printing
851,copyright,noun,"the legal right, which the creator of an original work has, to only allow copying of the work with permission and sometimes on payment of royalties or a copyright fee"
852,copyright,verb,to confirm the copyright of a written work by inserting a copyright notice and publishing the work
853,copyright,adjective,covered by the laws of copyright
854,Copyright Act,noun,"an Act of Parliament making copyright legal, and controlling the copying of copyright material"
855,copyright infringement,noun,the act of illegally copying or using a work that is covered by copyright law. Also called infringement of copyright
856,copyright law,noun,a law which protects the rights to copyright
857,copyright lawyer,noun,a person who specialises in the law concerning copyright
858,copyright legislation,noun,laws concerning copyright
859,copyright licence,noun,"official permission to produce, copy and sell works that are protected by copyright law"
860,copyright notice,noun,"a note in a book showing who owns the copyright and the date of ownership, printed on the verso of the title page"
861,copy typing,noun,"the typing of documents from handwritten originals, not from dictation"
862,copywriter,noun,a person who writes the text for advertisements
863,copywriting,noun,the writing of copy for advertisements
864,CORA,noun,the computer typesetting language used by Linotype. Full form computer orientated reproducer assembly
865,cords,plural noun,"pieces of hemp string running across the back of a book, to which the signatures are sewn before the case is attached"
866,corner marks,plural noun,"marks on a piece of artwork or on colour separations, showing where the corners of the printed page fall, so as to help justification or colour register"
867,corner-rounding machine,noun,corner-rounding machine corner-rounding machine
868,corona,noun,an electrical discharge that is used to charge the toner within a laser printer
869,corporate image,noun,the way in which a company would like the public to think of them
870,correction marks,plural noun,"signs used to indicate corrections, used by editors and typesetters"
871,correction overlay,noun,a film on which corrections can be made to artwork
872,correspondence,noun,letters sent and received
873,correspondence column,noun,"the letters page of a newspaper, where letters from readers to the editor are printed"
874,correspondent,noun,1. somebody who writes letters 2. a television or newspaper reporter on a specialist subject or in a particular area
875,corrigenda,plural noun,a list of corrections printed in a book
876,corrigendum,noun,an error to be corrected
877,corrugated,adjective,made with narrow folds on the surface
878,"cost, insurance and freight",noun,"an estimate of a price, which includes the cost of the goods, the insurance and the transport charges"
879,cost sheet,noun,a sheet used in a printing works or publisher's office which lists all the costs incurred in a piece of work
880,couch,verb,to move newly made wet paper from the wire mesh to a felt mat
881,coucher,noun,an employee who takes the wet paper from the vatman and puts it onto the felt mat
882,couching roll,noun,a roll which squeezes wet paper as it leaves the mesh
883,course book,noun,a book that is used by students and teachers as the basis of a course of study
884,courtesy discount,noun,"a special discount given by a supplier to a purchaser which is not a discount for resale, such as a special price at which a publisher sells books to authors"
885,cover,noun,"1. the outside of a book, usually made of thicker paper or card.  2. the outside of a magazine, sometimes made of specially thick paper or art paper. "
886,cover copy,noun,text which is to be printed on the cover
887,cover design,noun,a special design for a book or magazine cover
888,cover designer,noun,a person who designs the cover of a book or magazine
889,covering letter,noun,a letter or note sent with documents to say why they are being sent
890,covering material,noun,material used to make the cover for a book
891,cover paper,noun,board or thick paper used as the cover for magazines or pamphlets
892,cover price,noun,the retail price of a book
893,cover story,noun,a feature article which is illustrated by the picture on the front cover
894,CRC,abbreviation,camera-ready copy
895,cream laid paper,noun,white writing paper with faint lines running across it
896,crease,noun,"1. a fold in paper or board, made intentionally."
897,crease,verb,1. to put a fold into paper or board usually by impressing a line
898,creative printing,noun,"using home software and equipment to print decorative materials such as greetings cards, photographs, transfers etc"
899,creep,noun,"1. movement of a cylinder blanket on the cylinder 2. a situation in which folded pages nested inside other folded pages, as in a booklet, are forced outwards by the bulk of the paper so that they extend beyond the edges of the outer pages"
900,cr�pe paper,noun,"crinkly paper, used as packaging material or as decoration"
901,critic,noun,"a person who writes reviews or gives opinions about books, films, music and art"
902,critical,adjective,"1. expressing opinions about somebody or something, especially poor ones 2. very serious or dangerous"
903,critique,noun,a critical review or discussion of something such as a book
904,crocking,noun,flaking of ink after it has dried
905,Cromalin,,"a trade name for a pre-press proofing system using colour toners and a photosensitive substrate, which is cheaper than wet proofs if only one proof is needed"
906,crop,verb,1. to cut off parts of an illustration such as a photograph. 2. to cut off too much paper when binding. 
907,crop mark,noun,a printed mark that shows the edge of a page or image and allows it to be cut accurately
908,cropping,noun,the removal of areas of artwork or of a photograph which are not needed
909,cross folding,noun,the folding of paper against the grain
910,cross hatching,noun,a series of lines in two directions to give shading to a line drawing
911,crosshead,noun,"the heading of a paragraph or section which is centred over a column, used in magazines to break up long columns of text"
912,cross-index,verb,"1. to give a particular item one or more additional entries in an index, under different headings, as cross-references to it 2. to supply cross-references in something. "
913,crown,noun,"a size of book based on an old paper size of 15 x 20 inches or 380 x 508mm, so called because the old paper was originally identified by a watermark of a crown"
914,Crown copyright,noun,"the copyright on British government publications, which belongs to the Stationery Office"
915,crown octavo,noun,"a size of book, formerly 7 1/2 x 5 inches, now 186 x 123mm"
916,crown quarto,noun,"a size of book, formerly 10 x 7 1/2 inches, now 246 x 186mm"
917,CRPU,abbreviation,camera-ready pasteup
918,CRT,abbreviation,cathode ray tube
919,C series,noun,ISO standard sizes of paper for envelopes.
920,CSS,abbreviation,cascading stylesheet
921,CTP,abbreviation,computer to plate
922,cure,verb,to dry inks or paper coatings after printing to prevent set-off
923,curiosa,plural noun,"books or other texts dealing with unusual topics, especially erotica"
924,curriculum vitae,noun,"a brief summary of somebody's personal details, education and career.

925,cursor,noun,a mark on a computer screen which can be moved around and which indicates where anything that is input will appear
926,cushion,noun,a soft pad on which a leatherbound book is placed for tooling
927,cut-and-paste,noun,"1. a facility of computers allowing data to be deleted in one place and inserted in another 2. the normal way of doing a paste-up, where the various items are carefully cut out with a scalpel and positioned on a sheet"
928,cut edges,plural noun,"the edges of a book which have been trimmed by a guillotine, i.e. the top, bottom and foredges"
929,cut flush,adjective,used to describe a book which has been trimmed so that the cover does not stick out further than the pages
930,cut out,verb,"1. to remove something from a text by cutting . 2. to remove the background from an illustration, leaving the main part as a silhouette"
931,cutout,noun,"1. a piece of paper or card which is cut out from a large piece 2. an illustration where the background has been removed, leaving a silhouette"
932,cutout book,noun,a children's book where the illustrations can be cut out to make models or figures
933,cut sheet feeder,noun,a mechanism that automatically feeds single sheets of paper into a printer
934,cut size,noun,"a size of paper which is used by home and office printers, convenient for use without the need for cutting or folding, such as A4"
935,cutter,noun,a machine that cuts
936,cutting,noun,"a reference to a client, company or author in a newspaper or magazine, which is cut out of the paper and filed for reference"
937,cutting and creasing,noun,"an operation carried out on a letterpress cylinder machine, using dies to cut and crease paper or card into shape"
938,cutting cylinder,noun,a cylinder with knives which cut the printed section from the web
939,cutting marks,noun,marks printed on the sheet showing where it has to be cut
940,CV,noun,curriculum vitae
941,cyan,noun,"a special blue, one of the three process colours"
942,cyan-magenta-yellow-key,adjective,full form of CMYK
943,cylinder brake,noun,a device which stops the running of a printing press
944,cylinder-dried paper,noun,paper which has been dried by running it over hot cylinders
945,cylinder press,noun,a printing press where the paper is carried on a fixed cylinder which presses it onto the flat forme containing the inked type. Also called flatbed cylinder press
946,Cyrillic alphabet,noun,"the Russian alphabet, also used in some other Slavonic languages such as Ukrainian and Bulgarian"
947,daily,adjective,happening every day
948,daily,noun,a newspaper published every weekday
949,dampening roller,noun,a roller which keeps the plate wet in lithographic printing
950,dandy roll,noun,or dandy roller; a roller covered with wire mesh which presses the wet paper and can make watermarks on it if the mesh has a pattern on it
951,darkroom,noun,"infrared light only, where films can be developed and printed"
952,dash,noun,a punctuation mark (-) that is a short horizontal line used to mark off a section of a sentence
953,data,noun,information usually in the form of facts or statistics which can be analysed.
954,data acquisition,noun,the gathering of data about a particular subject. Also called data collection
955,data bank,noun,"a large store of information, especially kept in or available to a computer, sometimes consisting of several databases"
956,database,noun,1. software which enables the user to organise data for easy retrieval 2. a collection of data stored in a computer which can be easily and quickly retrieved
957,database publishing,noun,"publishing information selected from a database, either online where the user pays for it on a per-page inspection basis, or as a CD-ROM"
958,data protection,noun,the procedure of making sure that data is not copied by an unauthorised user
959,Data Protection Act,noun,a piece of legislation passed in 1984 in the UK which requires any owner of a database that contains personal details to register
960,datasheet,noun,"a document accessible on the Internet that gives a detailed description of something, especially a product"
961,dateline,noun,"a line at the beginning of a newspaper report, giving the date and place from where the report was filed"
962,date of publication,noun,same as publication date
963,date of receipt,noun,the date when something is received
964,date stamp,noun,"a stamp with rubber figures which can be moved, used for marking the date on documents"
965,day glow,noun,a range of fluorescent inks
966,day release,noun,a system of training by which employees are allowed a regular day each week to attend college
967,d.c.,abbreviation,double column
968,DCS,noun,"a format developed by Quark Inc that is an extension to the standard EPS format. Full form Desktop Colour Separations

969,deacidify,verb,to remove the acid from paper
970,dead copy,noun,"a manuscript which has been keyboarded and typeset, and therefore is no longer needed"
971,dead keys,plural noun,"keys on a keyboard that cause a function to occur rather than a character to print, e.g. the shift key"
972,dead letters,plural noun,"letters still in the case, but which cannot be used because there is no more type left of one letter"
973,dead metal,noun,the parts of a metal printing plate which do not print
974,debark,verb,to remove the bark from wood
975,debarked wood,noun,"wood which has had the bark stripped off, and is ready to be ground into pulp for papermaking"
976,deboss,verb,to press a mould on the top of something so that the surface is depressed.
977,Debrett,noun,"a publication that lists members of the British aristocracy, including information on related topics such as honours, ranks, titles, forms of address, and etiquette"
978,debug,verb,to test a computer program to locate and correct any errors
979,decal,noun,"a small piece of plastic which sticks to a surface, used often as an advertisement"
980,deckle,noun,"1. the raised edge of the wire tray in which handmade paper is made, which stops the pulp from running over the edge of the tray 2. the width of a machine which makes paper, hence the width of a piece of paper as it is made

981,deckle edged paper,noun,paper with a deckle edge
982,deckle frame,noun,a wooden frame holding the wire on which handmade paper is made
983,decollate,verb,"to separate continuous stationery into single sheets, or to split two-part or three-part stationery into its separate parts"
984,decollator,noun,a machine used to separate continuous stationery into single sheets or to split two-part or three-part stationery into separate parts
985,dedicated word processor,noun,small computer which has been configured to do only word processing
986,deep-etch,verb,"to etch the image very slightly below the surface of a printing plate, a process used in offset lithography to give a more intense print"
987,deep-etched halftone,noun,"a plate etched deeper than normal, often leaving white spaces"
988,deep Web,noun,"searchable databases accessible through the Internet, which must be searched using CQL queries and not with an ordinary Web search engine"
989,degradation,noun,a loss of picture or signal quality
990,degree,noun,"a qualification awarded by a university or college following successful completion of a course of study or period of research, or a similar qualification granted as an honour"
991,deink,verb,to remove the ink from printed paper as part of the recycling process
992,dejagging,noun,same as anti-aliasing
993,del.,abbreviation,an instruction by a proofreader to a compositor to delete part of a text
994,Delibros',noun,a Spanish magazine dealing with books and publishers
995,de luxe edition,noun,"a special edition of a book, printed on very good-quality paper and with an expensive binding, selling for a higher price than a standard edition"
996,demographics,noun,"the details of the population of a country, or any community or group, in particular its size, density, distribution, and the birth, death, and marriage rates, which affect marketing"
997,demy,noun,a traditional British paper size
998,demy octavo,noun,"a book format, formerly 8 3/4 x 5 inches, now 216 x 138mm"
999,demy quarto,noun,"a book format, formerly 11 1/4 x 8 3/4 inches, now 279 x 219mm"
1000,densitometer,noun,"1. a device for measuring the absorption of light, used to calculate the thickness of ink required to print on a particular type of paper 2. a device for measuring the size of dots in halftones"
1001,density,noun,the level of darkness of an image
1002,densometer,noun,a device used for testing paper porosity by measuring the time taken for a particular volume of air to pass through a sample area of paper
1003,dentelle,noun,"gold decoration used on book covers, like a series of little teeth"
1004,deposit library,noun,a national library to which a publisher has by law to give a copy of each book published
1005,depth gauge,noun,a ruler used to measure the space between lines of type
1006,depth of field,noun,the amount of a scene that will be in focus when photographed with a particular aperture setting
1007,depth of focus,noun,the position of film behind a camera lens that will result in a sharp image
1008,depth of page,noun,a measurement of the type area from the headline to the folio at the bottom of the page
1009,descender,noun,"the part of a letter which falls below the base line, as in 'j', 'y', 'p', 'g' and 'q'"
1010,descender line,noun,a line which marks the lowest level of the descenders in a particular face
1011,descending letter,noun,"a letter that has a descender, such as 'g', 'p' or 'y'"
1012,desensitise,verb,to wash an offset litho plate with chemicals to make sure the ink will not stick to the non-printing areas
1013,design,verb,to plan what something new will be like
1014,design,noun,1. the planning or drawing of a product before it is manufactured 2. a drawing which shows how a book or page or cover will look when finished
1015,designation mark,noun,"a signature mark, letter or number, printed in very small type on the fold of the signature, so that the sequence of sections can be easily checked"
1016,design brief,noun,instructions to a designer explaining what they should be designing for a particular project and any factors they should bear in mind
1017,design department,noun,a department in a large company which designs the company's products or its advertising
1018,designer,noun,a person who designs something
1019,design studio,noun,an independent firm which specialises in creating designs for companies
1020,desk,noun,a writing table in an office or study
1021,desk copy,noun,"a free copy of a book sent to somebody who may read it to buy rights in it, or to order it in quantity for class use"
1022,desk editor,noun,"an editor who works at a desk, preparing copy for the printer, checking proofs and collating corrections"
1023,desk pad,noun,a pad of paper kept on a desk for writing notes
1024,desktop,noun,"a display on a computer screen comprising background and icons representing equipment, programs and files"
1025,desktop,adjective,relating to something that sits on top of a desk or that can be done on a desk
1026,desktop computer,noun,"a computer, usually with a keyboard and monitor, which is small enough to be used on a desk"
1028,desktop publishing,noun,the design and layout of text and graphics using a small computer with a specific software application package and a printer
1029,detailed drawing,noun,a drawing showing a lot of small details
1030,detail paper,noun,thin transparent paper used for layouts and tracing
1031,develop,verb,1. to plan and produce something 2. to apply a chemical process to exposed photographic film and paper to produce an image
1032,developer,noun,a chemical solution used to develop exposed film
1033,device,noun,an ornamental design used by a publisher or printer as part of their logo
1034,diacritical marks,plural noun,"diacritics, diacriticals marks made above normal letters to show a change of pronunciation or stress"
1035,diaeresis,noun,"a printed sign, formed of two dots printed above a vowel (�)"
1036,diagnostics,plural noun,tests that help a user find faults in hardware or software
1037,dial micrometer,noun,"a machine for measuring paper thickness, where the reading is shown on a dial"
1038,dialogue,noun,"1. a written conversation in a book or play 2. the exchange of ideas or opinions, especially between those with different viewpoints"
1039,diamond,noun,"an old size of type, equivalent to 4 1/2 pt"
1040,diary,noun,1. a detailed daily record of the events in a person's life written in a book 2. a small book with dates and blank spaces used to record appointments
1041,diary format,noun,"a paper format similar to that used for diaries, roughly 140 x 85mm"
1042,diazo paper,noun,treated paper used in the dyeline copying process. Also called dyeline paper
1043,dictionary,noun,a book or compact disc containing the words of a language arranged alphabetically with their meanings.
1044,die,noun,"1. a matrix used for making a hot metal character 2. any metal stamp, used for cutting or stamping"
1045,die case,noun,a case which holds the matrices for Monotype hot metal die casting
1046,die casting,noun,the casting of metal type using hot metal and matrices
1047,die cutting,noun,"the use of sharp metal knives to cut out paper or cardboard in different shapes, usually on a letterpress cylinder machine"
1048,die stamping,noun,"the stamping of relief decorations or text on paper or card, as e.g. an address on stationery"
1049,differential spacing,noun,"spacing where each character takes a space equivalent to its width, 'm' taking more space than 'i'"
1050,digest,noun,"a book which summarises a series of reports, especially one that collects summaries of court decisions and is used as a reference tool by lawyers"
1051,digester,noun,"a device which mixes ground wood, water and chemicals together and begins the process of papermaking"
1052,digest-size,adjective,"relating to a book which measures 7 x 5 inches, the same format as the 'Reader's Digest'"
1053,digital font,noun,a font that has been digitised so that it can be stored in a computer
1054,digital image processing,noun,"digital image acquisition, digital imaging;  a wide range of techniques used to generate, process and reproduce images using computers"
1055,digital object identifier,noun,"an identifying symbol for a web file that redirects users to any new Internet location for that file. 

Abbr :DOI"
1056,digital printing,noun,a method of printing in which the text or images are transferred directly to the paper without the use of film or plates. Also called direct digital printing
1057,digital proofs,plural noun,proofs taken from digital files prior to film output at high or low resolution
1058,digital repository,noun,a single system for storing and distributing all types of electronic materials
1059,digital rights management,noun,"the use of technologies to protect against the misuse of copyrighted digital materials.

1060,digital scanning,noun,"the reading of an image such as a printed character by a computer, done by building it up as a series of dots in the computer memory"
1061,digital video disc,noun,full form of DVD
1062,digitisation,noun,the action of converting shapes or signals into digital form
1063,digitised letterforms,plural noun,the shapes of characters which have been scanned and then stored as a series of dots in the computer memory
1064,digitised photograph,noun,an image or photograph that has been scanned to produce an analogue signal which is then converted to digital form and stored in a computer or displayed on a screen
1065,digitiser,noun,"a vector graphic input device which can be used to scan an existing image, capturing x, y coordinates at desired intervals"
1066,di litho,abbreviation,direct lithography
1068,dinky sheet,noun,a narrow web of paper
1069,diphthong,noun,"two vowels which are pronounced together as one sound, sometimes printed together with a ligature, as in 'encyclop�dia'"
1070,direct digital printing,noun,same as digital printing
1071,direct-entry phototypesetting,noun,phototypesetting where the text is keyed directly onto a keyboard which allows it to be output as typesetting
1072,direct impression,noun,a typesetting process where the image is created by something which hits the paper directly
1073,direct lithography,noun,a lithographic process where the image is printed directly from the plate onto the paper.
1074,direct mail,noun,a system of selling goods by sending publicity material about them through the post
1075,direct-mail advertising,noun,advertising by sending leaflets to people through the post
1076,direct marketing,noun,"methods of marketing that bypass retailers, such as mail order, direct-mail advertising, telephone sales, Internet shopping etc."
1077,direct printing,noun,the process of printing directly from a plate onto the paper
1078,dirty copy,noun,"a manuscript or typescript which has a large number of additions and changes, and is difficult to read"
1079,dirty proof,noun,a proof with many keyboarding errors or which has been heavily corrected
1080,disclaimer,noun,a legal refusal to accept responsibility

1082,discounter,noun,a person or company which sells goods at a discount
1083,discretion,noun,the ability to deal with confidential situations or information without causing embarrassment
1084,discretionary hyphen,noun,"a hyphen inserted by the keyboarder, which is different from the spelling used in the computer's H & J program"
1085,discrimination,noun,"treatment of people in different ways because of class, religion, race, language, colour or sex"
1086,disinformation,noun,"false or deliberately misleading information, often put out as propaganda"
1087,disk,noun,"a flat, round plastic device coated with magnetised material which can be used to store information
readable by a computer. Also called disc"
1088,disk inking,noun,"a method of inking printing rollers, where the ink is spread from a turning plate"
1089,Disk Operating System,noun,the section of the operating system in a computer that controls the disk and file management.
1090,disk ruling,noun,"a method of producing ruled paper, using disks to produce the rules"
1092,dispatch department,noun,a department in a company which deals with the packing and sending of goods to customers
